Protein,Degree
RL1,1
UL14,1
US11,1
UL51,1
UL49A,2
UL11,2
UL23,2
UL49,2
UL33,2
UL44_gCsec,2
UL53,3
UL10,3
UL35,3
US1,3
RS1,4
UL1,4
UL31,4
US12,4
UL44,4
UL54,4
UL15,4
UL5,4
UL2,4
UL20,4
US1_US1.5,4
UL56,5
UL28,5
UL52,5
UL6,5
UL17,5
UL37,5
UL34,6
US6,6
US9,6
UL40,6
UL42,6
US10,6
US8.5,6
UL39,6
UL30,6
UL24,7
UL36,7
UL38,7
UL46,7
US7,7
US8,7
UL3,7
UL48,7
UL25,8
RL2,8
UL45,8
UL50,8
UL26,8
UL18,8
UL12,9
US2,9
UL22,9
UL29,9
UL12_UL12.5,9
UL19,9
UL26_pAP,10
UL27,10
UL21,10
UL8,11
UL9,11
UL4,11
UL41,12
US3,13
UL32,14
UL47,14
UL7,15
UL13,17
UL55,18
UL16,20
